Date	S&P
1/22/09	827.5
1/23/09	831.95
1/26/09	836.57
1/27/09	845.71
1/28/09	874.09
1/29/09	845.14
1/30/09	825.88
2/2/09	825.44
2/3/09	838.51
2/4/09	832.23
2/5/09	845.85
2/6/09	868.6
2/9/09	869.89
2/10/09	827.16
2/11/09	833.74
2/12/09	835.19
2/13/09	826.84
2/17/09	789.17
2/18/09	788.42
2/19/09	778.94
2/20/09	770.05
2/23/09	743.33
2/24/09	773.14
2/25/09	764.9
2/26/09	752.83
2/27/09	735.09
3/2/09	700.82
3/3/09	696.33
3/4/09	712.87
3/5/09	682.55
3/6/09	683.38
3/9/09	676.53
3/10/09	719.6
3/11/09	721.36
3/12/09	750.74
3/13/09	756.55
3/16/09	753.89
3/17/09	778.12
3/18/09	794.35
3/19/09	784.04
3/20/09	768.54
3/23/09	822.92
3/24/09	806.12
3/25/09	813.88
3/26/09	832.86
3/27/09	815.94
3/30/09	787.53
3/31/09	797.87
4/1/09	811.08
4/2/09	834.38
4/3/09	842.5
4/6/09	835.48
4/7/09	815.55
4/8/09	825.16
4/9/09	856.56
4/13/09	858.73
4/14/09	841.5
4/15/09	852.06
4/16/09	865.3
4/17/09	869.6
4/20/09	832.39
4/21/09	850.08
4/22/09	843.55
4/23/09	851.92
4/24/09	866.23
4/27/09	857.51
4/28/09	855.16
4/29/09	873.64
4/30/09	872.81
5/1/09	877.52
5/4/09	907.24
5/5/09	903.8
5/6/09	919.53
5/7/09	907.39
5/8/09	929.23
5/11/09	909.24
5/12/09	908.35
5/13/09	883.92
5/14/09	893.07
5/15/09	882.88
5/18/09	909.71
5/19/09	908.13
5/20/09	903.47
5/21/09	888.33
5/22/09	887
5/26/09	910.33
5/27/09	893.06
5/28/09	906.83
5/29/09	919.14
6/1/09	942.87
6/2/09	944.74
6/3/09	931.76
6/4/09	942.46
6/5/09	940.09
6/8/09	939.14
6/9/09	942.43
6/10/09	939.15
6/11/09	944.89
6/12/09	946.21
6/15/09	923.72
6/16/09	911.97
6/17/09	910.71
6/18/09	918.37
6/19/09	921.23
6/22/09	893.04
6/23/09	895.1
6/24/09	900.94
6/25/09	920.26
6/26/09	918.9
6/29/09	927.23
6/30/09	919.32
7/1/09	923.33
7/2/09	896.42
7/6/09	898.72
7/7/09	881.03
7/8/09	879.56
7/9/09	882.68
7/10/09	879.13
7/13/09	901.05
7/14/09	905.84
7/15/09	932.68
7/16/09	940.74
7/17/09	940.38
7/20/09	951.13
7/21/09	954.58
7/22/09	954.07
7/23/09	976.29
7/24/09	979.26
7/27/09	982.18
7/28/09	979.62
7/29/09	975.15
7/30/09	986.75
7/31/09	987.48
8/3/09	1002.63
8/4/09	1005.65
8/5/09	1002.72
8/6/09	997.08
8/7/09	1010.48
8/10/09	1007.1
8/11/09	994.35
8/12/09	1005.81
8/13/09	1012.73
8/14/09	1004.09
8/17/09	979.73
8/18/09	989.67
8/19/09	996.46
8/20/09	1007.37
8/21/09	1026.13
8/24/09	1025.57
8/25/09	1028
8/26/09	1028.12
8/27/09	1030.98
8/28/09	1028.93
8/31/09	1020.62
9/1/09	998.04
9/2/09	994.75
9/3/09	1003.24
9/4/09	1016.4
9/8/09	1025.39
9/9/09	1033.37
9/10/09	1044.14
9/11/09	1042.73
9/14/09	1049.34
9/15/09	1052.63
9/16/09	1068.76
9/17/09	1065.49
9/18/09	1068.3
9/21/09	1064.66
9/22/09	1071.66
9/23/09	1060.87
9/24/09	1050.78
9/25/09	1044.38
9/28/09	1062.98
9/29/09	1060.61
9/30/09	1057.08
10/1/09	1029.85
10/2/09	1025.21
10/5/09	1040.46
10/6/09	1054.72
10/7/09	1057.58
10/8/09	1065.48
10/9/09	1071.49
10/12/09	1076.19
10/13/09	1073.19
10/14/09	1092.02
10/15/09	1096.56
10/16/09	1087.68
10/19/09	1097.91
10/20/09	1091.06
10/21/09	1081.4
10/22/09	1092.91
10/23/09	1079.6
10/26/09	1066.95
10/27/09	1063.41
10/28/09	1042.63
10/29/09	1066.11
10/30/09	1036.19
11/2/09	1042.88
11/3/09	1045.41
11/4/09	1046.5
11/5/09	1066.63
11/6/09	1069.3
11/9/09	1093.08
11/10/09	1093.01
11/11/09	1098.51
11/12/09	1087.24
11/13/09	1093.48
11/16/09	1109.3
11/17/09	1110.32
11/18/09	1109.8
11/19/09	1094.9
11/20/09	1091.38
11/23/09	1106.24
11/24/09	1105.65
11/25/09	1110.63
11/27/09	1091.49
11/30/09	1095.63
12/1/09	1108.86
12/2/09	1109.24
12/3/09	1099.92
12/4/09	1105.98
12/7/09	1103.25
12/8/09	1091.94
12/9/09	1095.95
12/10/09	1102.35
12/11/09	1106.41
12/14/09	1114.11
12/15/09	1107.93
12/16/09	1109.18
12/17/09	1096.08
12/18/09	1102.47
12/21/09	1114.05
12/22/09	1118.02
12/23/09	1120.59
12/24/09	1126.48
12/28/09	1127.78
12/29/09	1126.2
12/30/09	1126.42
12/31/09	1115.1
1/4/10	1132.99
1/5/10	1136.52
1/6/10	1137.14
1/7/10	1141.69
1/8/10	1144.98
1/11/10	1146.98
1/12/10	1136.22
1/13/10	1145.68
1/14/10	1148.46
1/15/10	1136.03
1/19/10	1150.23
1/20/10	1138.04
1/21/10	1116.48
1/22/10	1091.76
1/25/10	1096.78
1/26/10	1092.17
1/27/10	1097.5
1/28/10	1084.53
1/29/10	1073.87
2/1/10	1089.19
2/2/10	1103.32
2/3/10	1097.28
2/4/10	1063.11
2/5/10	1066.19
2/8/10	1056.74
2/9/10	1070.52
2/10/10	1068.13
2/11/10	1078.47
2/12/10	1075.51
2/16/10	1094.87
2/17/10	1099.51
2/18/10	1106.75
2/19/10	1109.17
2/22/10	1108.01
2/23/10	1094.6
2/24/10	1105.24
2/25/10	1102.94
2/26/10	1104.49
3/1/10	1115.71
3/2/10	1118.31
3/3/10	1118.79
3/4/10	1122.97
3/5/10	1138.7
3/8/10	1138.5
3/9/10	1140.45
3/10/10	1145.61
3/11/10	1150.24
3/12/10	1149.99
3/15/10	1150.51
3/16/10	1159.46
3/17/10	1166.21
3/18/10	1165.83
3/19/10	1159.9
3/22/10	1165.81
3/23/10	1174.17
3/24/10	1167.72
3/25/10	1165.73
3/26/10	1166.59
3/29/10	1173.22
3/30/10	1173.27
3/31/10	1169.43
4/1/10	1178.1
4/5/10	1187.44
4/6/10	1189.44
4/7/10	1182.45
4/8/10	1186.44
4/9/10	1194.37
4/12/10	1196.48
4/13/10	1197.3
4/14/10	1210.65
4/15/10	1211.67
4/16/10	1192.13
4/19/10	1197.52
4/20/10	1207.17
4/21/10	1205.94
4/22/10	1208.67
4/23/10	1217.28
4/26/10	1212.05
4/27/10	1183.71
4/28/10	1191.36
4/29/10	1206.78
4/30/10	1186.69
5/3/10	1202.26
5/4/10	1173.6
5/5/10	1165.87
5/6/10	1128.15
5/7/10	1110.88
5/10/10	1159.73
5/11/10	1155.79
5/12/10	1171.67
5/13/10	1157.44
5/14/10	1135.68
5/17/10	1136.94
5/18/10	1120.8
5/19/10	1115.05
5/20/10	1071.59
5/21/10	1087.69
5/24/10	1073.65
5/25/10	1074.03
5/26/10	1067.95
5/27/10	1103.06
5/28/10	1089.41
6/1/10	1070.71
6/2/10	1098.38
6/3/10	1102.83
6/4/10	1064.88
6/7/10	1050.47
6/8/10	1062
6/9/10	1055.69
6/10/10	1086.84
6/11/10	1091.6
6/14/10	1089.63
6/15/10	1115.23
6/16/10	1114.61
6/17/10	1116.04
6/18/10	1117.51
6/21/10	1113.2
6/22/10	1095.31
6/23/10	1092.04
6/24/10	1073.69
6/25/10	1076.76
6/28/10	1074.57
6/29/10	1041.24
6/30/10	1030.71
7/1/10	1027.37
7/2/10	1022.58
7/6/10	1028.06
7/7/10	1060.27
7/8/10	1070.25
7/9/10	1077.96
7/12/10	1078.75
7/13/10	1095.34
7/14/10	1095.17
7/15/10	1096.48
7/16/10	1064.88
7/19/10	1071.25
7/20/10	1083.48
7/21/10	1069.59
7/22/10	1093.67
7/23/10	1102.66
7/26/10	1115.01
7/27/10	1113.84
7/28/10	1106.13
7/29/10	1101.53
7/30/10	1101.6
8/2/10	1125.86
8/3/10	1120.46
8/4/10	1127.24
8/5/10	1125.81
8/6/10	1121.64
8/9/10	1127.79
8/10/10	1121.06
8/11/10	1089.47
8/12/10	1083.61
8/13/10	1079.25
	
	
	
